tau,r,phi,t
0.0000000000e+00,1.0000000000e+01,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,9.8380976461e+00,6.0998664114e-02,2.2108824555e+00
4.0000000000e+00,9.6875737848e+00,1.2396557048e-01,4.4257402763e+00
6.0000000000e+00,9.5492034044e+00,1.8883849034e-01,6.6444023514e+00
8.0000000000e+00,9.4237464889e+00,2.5552867141e-01,8.8666517949e+00
1.0000000000e+01,9.3119344037e+00,3.2391919399e-01,1.1092224141e+01
1.2000000000e+01,9.2144551749e+00,3.9386412508e-01,1.3320806819e+01
1.4000000000e+01,9.1319381635e+00,4.6518867061e-01,1.5552040159e+01
1.6000000000e+01,9.0649387708e+00,5.3769048515e-01,1.7785520131e+01
1.8000000000e+01,9.0139239126e+00,6.1114223043e-01,2.0020802909e+01
2.0000000000e+01,8.9792590526e+00,6.8529538204e-01,2.2257411224e+01
2.2000000000e+01,8.9611975683e+00,7.5988517642e-01,2.4494842348e+01
2.4000000000e+01,8.9598749949e+00,8.3463647501e-01,2.6732577353e+01
2.6000000000e+01,8.9753018652e+00,9.0927020498e-01,2.8970091169e+01
2.8000000000e+01,9.0073612993e+00,9.8351016753e-01,3.1206863215e+01
3.0000000000e+01,9.0558183837e+00,1.0570895537e+00,3.3442387564e+01
3.2000000000e+01,9.1203247000e+00,1.1297569217e+00,3.5676182364e+01
3.4000000000e+01,9.2004285265e+00,1.2012813072e+00,3.7907798046e+01
3.6000000000e+01,9.2955874867e+00,1.2714562195e+00,4.0136823951e+01
3.8000000000e+01,9.4051828814e+00,1.3401023998e+00,4.2362893185e+01
4.0000000000e+01,9.5285349137e+00,1.4070693239e+00,4.4585685637e+01
4.2000000000e+01,9.6649180552e+00,1.4722355279e+00,4.6804929250e+01
4.4000000000e+01,9.8135758988e+00,1.5355079074e+00,4.9020399722e+01
4.6000000000e+01,9.9737349751e+00,1.5968201849e+00,5.1231918887e+01
4.8000000000e+01,1.0144617156e+01,1.6561307611e+00,5.3439352050e+01
5.0000000000e+01,1.0325450415e+01,1.7134201600e+00,5.5642604596e+01
5.2000000000e+01,1.0515477847e+01,1.7686882584e+00,5.7841618104e+01
5.4000000000e+01,1.0713964946e+01,1.8219514597e+00,6.0036366245e+01
5.6000000000e+01,1.0920205239e+01,1.8732399385e+00,6.2226850628e+01
5.8000000000e+01,1.1133524419e+01,1.9225950476e+00,6.4413096764e+01
6.0000000000e+01,1.1353283146e+01,1.9700669453e+00,6.6595150251e+01
6.2000000000e+01,1.1578878722e+01,2.0157124802e+00,6.8773073254e+01
6.4000000000e+01,1.1809745809e+01,2.0595933424e+00,7.0946941322e+01
6.6000000000e+01,1.2045356402e+01,2.1017744816e+00,7.3116840552e+01
6.8000000000e+01,1.2285219189e+01,2.1423227765e+00,7.5282865116e+01
7.0000000000e+01,1.2528878466e+01,2.1813059356e+00,7.7445115113e+01
7.2000000000e+01,1.2775912716e+01,2.2187916060e+00,7.9603694747e+01
7.4000000000e+01,1.3025932970e+01,2.2548466638e+00,8.1758710776e+01
7.6000000000e+01,1.3278581016e+01,2.2895366617e+00,8.3910271239e+01
7.8000000000e+01,1.3533527545e+01,2.3229254102e+00,8.6058484390e+01
8.0000000000e+01,1.3790470258e+01,2.3550746704e+00,8.8203457842e+01
8.2000000000e+01,1.4049132013e+01,2.3860439384e+00,9.0345297874e+01
8.4000000000e+01,1.4309258996e+01,2.4158903058e+00,9.2484108894e+01
8.6000000000e+01,1.4570618982e+01,2.4446683806e+00,9.4619993012e+01
8.8000000000e+01,1.4832999662e+01,2.4724302556e+00,9.6753049725e+01
9.0000000000e+01,1.5096207071e+01,2.4992255157e+00,9.8883375686e+01
9.2000000000e+01,1.5360064111e+01,2.5251012730e+00,1.0101106455e+02
9.4000000000e+01,1.5624409172e+01,2.5501022248e+00,1.0313620685e+02
9.6000000000e+01,1.5889094844e+01,2.5742707269e+00,1.0525888999e+02
9.8000000000e+01,1.6153986737e+01,2.5976468786e+00,1.0737919818e+02
1.0000000000e+02,1.6418962376e+01,2.6202686150e+00,1.0949721247e+02
1.0200000000e+02,1.6683910198e+01,2.6421718038e+00,1.1161301081e+02
1.0400000000e+02,1.6948728618e+01,2.6633903449e+00,1.1372666809e+02
1.0600000000e+02,1.7213325181e+01,2.6839562689e+00,1.1583825618e+02
1.0800000000e+02,1.7477615778e+01,2.7038998364e+00,1.1794784409e+02
1.1000000000e+02,1.7741523932e+01,2.7232496338e+00,1.2005549799e+02
1.1200000000e+02,1.8004980147e+01,2.7420326667e+00,1.2216128135e+02
1.1400000000e+02,1.8267921307e+01,2.7602744502e+00,1.2426525501e+02
1.1600000000e+02,1.8530290131e+01,2.7779990951e+00,1.2636747730e+02
1.1800000000e+02,1.8792034678e+01,2.7952293899e+00,1.2846800412e+02
1.2000000000e+02,1.9053107886e+01,2.8119868798e+00,1.3056688907e+02
1.2200000000e+02,1.9313467160e+01,2.8282919401e+00,1.3266418352e+02
1.2400000000e+02,1.9573073994e+01,2.8441638467e+00,1.3475993674e+02
1.2600000000e+02,1.9831893622e+01,2.8596208421e+00,1.3685419594e+02
1.2800000000e+02,2.0089894703e+01,2.8746801975e+00,1.3894700642e+02
