tau,r,phi,t
0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e-01,2.0072407842e+00,9.4653608078e-02,3.8970387688e-01
4.0000000000e-01,2.0140294595e+00,1.8864814965e-01,7.7805825321e-01
6.0000000000e-01,2.0203985127e+00,2.8203080741e-01,1.1651638825e+00
8.0000000000e-01,2.0263775854e+00,3.7484464575e-01,1.5511121942e+00
1.0000000000e+00,2.0319937852e+00,4.6712906033e-01,1.9359863811e+00
1.2000000000e+00,2.0372719549e+00,5.5892016732e-01,2.3198623318e+00
1.4000000000e+00,2.0422349068e+00,6.5025114205e-01,2.7028094332e+00
1.6000000000e+00,2.0469036276e+00,7.4115251483e-01,3.0848912652e+00
1.8000000000e+00,2.0512974578e+00,8.3165243026e-01,3.4661662039e+00
2.0000000000e+00,2.0554342497e+00,9.2177687548e-01,3.8466879487e+00
2.2000000000e+00,2.0593305067e+00,1.0115498817e+00,4.2265059831e+00
2.4000000000e+00,2.0630015067e+00,1.1009937026e+00,4.6056659808e+00
2.6000000000e+00,2.0664614124e+00,1.1901289733e+00,4.9842101635e+00
2.8000000000e+00,2.0697233685e+00,1.2789748516e+00,5.3621776174e+00
3.0000000000e+00,2.0727995894e+00,1.3675491442e+00,5.7396045749e+00
3.2000000000e+00,2.0757014375e+00,1.4558684204e+00,6.1165246651e+00
3.4000000000e+00,2.0784394936e+00,1.5439481135e+00,6.4929691376e+00
3.6000000000e+00,2.0810236200e+00,1.6318026127e+00,6.8689670630e+00
3.8000000000e+00,2.0834630179e+00,1.7194453460e+00,7.2445455130e+00
4.0000000000e+00,2.0857662790e+00,1.8068888545e+00,7.6197297221e+00
4.2000000000e+00,2.0879414323e+00,1.8941448610e+00,7.9945432344e+00
4.4000000000e+00,2.0899959869e+00,1.9812243312e+00,8.3690080352e+00
4.6000000000e+00,2.0919369704e+00,2.0681375300e+00,8.7431446712e+00
4.8000000000e+00,2.0937709646e+00,2.1548940729e+00,9.1169723593e+00
5.0000000000e+00,2.0955041373e+00,2.2415029722e+00,9.4905090854e+00
5.2000000000e+00,2.0971422722e+00,2.3279726805e+00,9.8637716946e+00
5.4000000000e+00,2.0986907956e+00,2.4143111294e+00,1.0236775974e+01
5.6000000000e+00,2.1001548015e+00,2.5005257660e+00,1.0609536727e+01
5.8000000000e+00,2.1015390742e+00,2.5866235853e+00,1.0982067845e+01
6.0000000000e+00,2.1028481091e+00,2.6726111614e+00,1.1354382367e+01
6.2000000000e+00,2.1040861325e+00,2.7584946752e+00,1.1726492540e+01
6.4000000000e+00,2.1052571191e+00,2.8442799404e+00,1.2098409874e+01
6.6000000000e+00,2.1063648085e+00,2.9299724275e+00,1.2470145187e+01
6.8000000000e+00,2.1074127207e+00,3.0155772860e+00,1.2841708656e+01
7.0000000000e+00,2.1084041698e+00,3.1010993648e+00,1.3213109854e+01
7.2000000000e+00,2.1093422774e+00,3.1865432315e+00,1.3584357795e+01
7.4000000000e+00,2.1102299845e+00,3.2719131897e+00,1.3955460962e+01
7.6000000000e+00,2.1110700633e+00,3.3572132960e+00,1.4326427347e+01
7.8000000000e+00,2.1118651269e+00,3.4424473746e+00,1.4697264481e+01
8.0000000000e+00,2.1126176397e+00,3.5276190321e+00,1.5067979460e+01
8.2000000000e+00,2.1133299262e+00,3.6127316702e+00,1.5438578975e+01
8.4000000000e+00,2.1140041796e+00,3.6977884989e+00,1.5809069334e+01
8.6000000000e+00,2.1146424697e+00,3.7827925468e+00,1.6179456487e+01
8.8000000000e+00,2.1152467502e+00,3.8677466732e+00,1.6549746048e+01
9.0000000000e+00,2.1158188654e+00,3.9526535772e+00,1.6919943316e+01
9.2000000000e+00,2.1163605574e+00,4.0375158073e+00,1.7290053290e+01
9.4000000000e+00,2.1168734711e+00,4.1223357706e+00,1.7660080689e+01
9.6000000000e+00,2.1173591607e+00,4.2071157407e+00,1.8030029971e+01
